Proyecto,Fecha,Planificado,Registrado,Diferencia,Estado
,25/04/2023,0.00,84.60,-84.60,Activo
,12/05/2023,0.00,62.62,-62.62,Activo
,16/06/2023,0.00,60.82,-60.82,Activo
,03/02/2023,0.00,35.22,-35.22,Activo
,03/04/2023,0.00,66.58,-66.58,Activo
,29/05/2023,0.00,78.29,-78.29,Activo
,28/02/2023,0.00,38.72,-38.72,Activo
,15/05/2023,0.00,87.58,-87.58,Activo
,31/07/2023,0.00,76.18,-76.18,Activo
,11/04/2023,0.00,79.62,-79.62,Activo
,21/02/2023,0.00,56.50,-56.50,Activo
,09/01/2023,0.00,65.05,-65.05,Activo
,03/06/2023,0.00,0.90,-0.90,Activo
,22/06/2023,0.00,68.76,-68.76,Activo
,12/01/2023,0.00,65.18,-65.18,Activo
,05/07/2023,0.00,66.97,-66.97,Activo
,12/07/2023,0.00,62.17,-62.17,Activo
,23/03/2023,0.00,55.58,-55.58,Activo
,02/03/2023,0.00,35.57,-35.57,Activo
,05/06/2023,0.00,63.48,-63.48,Activo
,22/05/2023,0.00,62.62,-62.62,Activo
,27/03/2023,0.00,78.02,-78.02,Activo
,21/03/2023,0.00,67.12,-67.12,Activo
,31/01/2023,0.00,51.62,-51.62,Activo
,08/03/2023,0.00,37.08,-37.08,Activo
,13/04/2023,0.00,77.90,-77.90,Activo
,28/06/2023,0.00,55.49,-55.49,Activo
,14/07/2023,0.00,44.60,-44.60,Activo
,18/01/2023,0.00,36.22,-36.22,Activo
,12/06/2023,0.00,66.07,-66.07,Activo
,27/02/2023,0.00,54.26,-54.26,Activo
,04/08/2023,0.00,44.52,-44.52,Activo
,25/05/2023,0.00,60.04,-60.04,Activo
,21/07/2023,0.00,63.57,-63.57,Activo
,03/05/2023,0.00,58.35,-58.35,Activo
,20/04/2023,0.00,68.72,-68.72,Activo
,25/01/2023,0.00,60.30,-60.30,Activo
,23/04/2023,0.00,0.38,-0.38,Activo
,03/01/2023,0.00,65.42,-65.42,Activo
,01/08/2023,0.00,66.51,-66.51,Activo
,05/02/2023,0.00,7.10,-7.10,Activo
,22/01/2023,0.00,7.00,-7.00,Activo
,19/05/2023,0.00,56.48,-56.48,Activo
,08/02/2023,0.00,37.54,-37.54,Activo
,24/02/2023,0.00,27.35,-27.35,Activo
,17/03/2023,0.00,54.92,-54.92,Activo
,04/04/2023,0.00,49.43,-49.43,Activo
,24/07/2023,0.00,85.33,-85.33,Activo
,15/06/2023,0.00,56.36,-56.36,Activo
,26/04/2023,0.00,62.75,-62.75,Activo
,02/02/2023,0.00,51.60,-51.60,Activo
,29/04/2023,0.00,3.00,-3.00,Activo
,14/03/2023,0.00,67.68,-67.68,Activo
,27/07/2023,0.00,92.07,-92.07,Activo
,30/03/2023,0.00,60.63,-60.63,Activo
,23/06/2023,0.00,67.93,-67.93,Activo
,02/06/2023,0.00,44.20,-44.20,Activo
,13/01/2023,0.00,35.92,-35.92,Activo
,06/07/2023,0.00,48.18,-48.18,Activo
,10/04/2023,0.00,88.43,-88.43,Activo
,22/02/2023,0.00,23.15,-23.15,Activo
,26/03/2023,0.00,13.83,-13.83,Activo
,10/03/2023,0.00,50.68,-50.68,Activo
,30/01/2023,0.00,55.96,-55.96,Activo
,31/03/2023,0.00,45.18,-45.18,Activo
,06/06/2023,0.00,63.04,-63.04,Activo
,01/03/2023,0.00,33.83,-33.83,Activo
,04/01/2023,0.00,68.08,-68.08,Activo
,09/05/2023,0.00,84.23,-84.23,Activo
,14/06/2023,0.00,58.76,-58.76,Activo
,10/05/2023,0.00,52.93,-52.93,Activo
,01/02/2023,0.00,38.97,-38.97,Activo
,02/05/2023,0.00,62.87,-62.87,Activo
,05/04/2023,0.00,31.13,-31.13,Activo
,11/07/2023,0.00,76.05,-76.05,Activo
,09/06/2023,0.00,62.58,-62.58,Activo
,20/07/2023,0.00,82.02,-82.02,Activo
,13/03/2023,0.00,58.51,-58.51,Activo
,22/04/2023,0.00,2.00,-2.00,Activo
,29/03/2023,0.00,51.83,-51.83,Activo
,18/07/2023,0.00,246.92,-246.92,Activo
,17/04/2023,0.00,83.66,-83.66,Activo
,15/07/2023,0.00,8.00,-8.00,Activo
,09/02/2023,0.00,40.38,-40.38,Activo
,18/05/2023,0.00,74.05,-74.05,Activo
,05/01/2023,0.00,58.78,-58.78,Activo
,27/06/2023,0.00,55.30,-55.30,Activo
